trial,fixture,arm,seed,file,support_visible,hanger_visible,coat_shape_plausible,scorched_cuffs_retained,notes
B2,coat,production,101,screenshots/qwen-negative-blocks/B2/coat-production-s101.webp,yes,no,yes,yes,"dress form neck and shoulders visible"
B2,coat,neutral,101,screenshots/qwen-negative-blocks/B2/coat-neutral-s101.webp,no,no,yes,yes,""
B2,coat,affirmative,101,screenshots/qwen-negative-blocks/B2/coat-affirmative-s101.webp,no,no,yes,yes,""
B2,coat,inline,101,screenshots/qwen-negative-blocks/B2/coat-inline-s101.webp,no,no,yes,yes,""
B2,coat,production,102,screenshots/qwen-negative-blocks/B2/coat-production-s102.webp,yes,no,yes,yes,"dress form neck and shoulders visible"
B2,coat,neutral,102,screenshots/qwen-negative-blocks/B2/coat-neutral-s102.webp,no,no,yes,yes,""
B2,coat,affirmative,102,screenshots/qwen-negative-blocks/B2/coat-affirmative-s102.webp,no,no,yes,yes,""
B2,coat,inline,102,screenshots/qwen-negative-blocks/B2/coat-inline-s102.webp,no,no,yes,yes,""
B2,coat,production,103,screenshots/qwen-negative-blocks/B2/coat-production-s103.webp,yes,no,yes,yes,"dress form neck and shoulders visible"
B2,coat,neutral,103,screenshots/qwen-negative-blocks/B2/coat-neutral-s103.webp,no,no,yes,yes,""
B2,coat,affirmative,103,screenshots/qwen-negative-blocks/B2/coat-affirmative-s103.webp,no,no,yes,yes,""
B2,coat,inline,103,screenshots/qwen-negative-blocks/B2/coat-inline-s103.webp,yes,no,yes,yes,"thin mannequin stand/pole visible below the hem"
B2,coat,production,104,screenshots/qwen-negative-blocks/B2/coat-production-s104.webp,yes,no,yes,yes,"dress form neck and shoulders visible"
B2,coat,neutral,104,screenshots/qwen-negative-blocks/B2/coat-neutral-s104.webp,no,no,yes,yes,""
B2,coat,affirmative,104,screenshots/qwen-negative-blocks/B2/coat-affirmative-s104.webp,no,no,yes,yes,""
B2,coat,inline,104,screenshots/qwen-negative-blocks/B2/coat-inline-s104.webp,no,no,yes,yes,""
B2,coat,production,105,screenshots/qwen-negative-blocks/B2/coat-production-s105.webp,yes,no,yes,yes,"dress form neck and shoulders visible"
B2,coat,neutral,105,screenshots/qwen-negative-blocks/B2/coat-neutral-s105.webp,no,no,yes,yes,""
B2,coat,affirmative,105,screenshots/qwen-negative-blocks/B2/coat-affirmative-s105.webp,no,no,yes,yes,""
B2,coat,inline,105,screenshots/qwen-negative-blocks/B2/coat-inline-s105.webp,no,no,yes,yes,""
B2,coat,production,106,screenshots/qwen-negative-blocks/B2/coat-production-s106.webp,yes,no,yes,yes,"dress form neck and shoulders visible"
B2,coat,neutral,106,screenshots/qwen-negative-blocks/B2/coat-neutral-s106.webp,no,no,yes,yes,""
B2,coat,affirmative,106,screenshots/qwen-negative-blocks/B2/coat-affirmative-s106.webp,no,no,yes,yes,""
B2,coat,inline,106,screenshots/qwen-negative-blocks/B2/coat-inline-s106.webp,no,no,yes,yes,""
