trial,fixture,arm,seed,file,red_apple_present,any_apple_present,blue_mug_preserved,notes
A,apple_mug,off,101,screenshots/qwen-negative-blocks/A/apple_mug-off-s101.webp,yes,yes,yes,"arms near-identical at this seed; minor hue/size shift only"
A,apple_mug,on,101,screenshots/qwen-negative-blocks/A/apple_mug-on-s101.webp,yes,yes,yes,"arms near-identical at this seed; minor hue/size shift only"
A,apple_mug,off,102,screenshots/qwen-negative-blocks/A/apple_mug-off-s102.webp,yes,yes,yes,"arms near-identical at this seed; minor hue/size shift only"
A,apple_mug,on,102,screenshots/qwen-negative-blocks/A/apple_mug-on-s102.webp,yes,yes,yes,"arms near-identical at this seed; minor hue/size shift only"
A,apple_mug,off,103,screenshots/qwen-negative-blocks/A/apple_mug-off-s103.webp,yes,yes,yes,"arms near-identical at this seed; minor hue/size shift only"
A,apple_mug,on,103,screenshots/qwen-negative-blocks/A/apple_mug-on-s103.webp,yes,yes,yes,"arms near-identical at this seed; minor hue/size shift only"
A,apple_mug,off,104,screenshots/qwen-negative-blocks/A/apple_mug-off-s104.webp,yes,yes,yes,"arms near-identical at this seed; minor hue/size shift only"
A,apple_mug,on,104,screenshots/qwen-negative-blocks/A/apple_mug-on-s104.webp,yes,yes,yes,"arms near-identical at this seed; minor hue/size shift only"
A,apple_mug,off,105,screenshots/qwen-negative-blocks/A/apple_mug-off-s105.webp,yes,yes,yes,"arms near-identical at this seed; minor hue/size shift only"
A,apple_mug,on,105,screenshots/qwen-negative-blocks/A/apple_mug-on-s105.webp,yes,yes,yes,"arms near-identical at this seed; minor hue/size shift only"
A,apple_mug,off,106,screenshots/qwen-negative-blocks/A/apple_mug-off-s106.webp,yes,yes,yes,"arms near-identical at this seed; minor hue/size shift only"
A,apple_mug,on,106,screenshots/qwen-negative-blocks/A/apple_mug-on-s106.webp,yes,yes,yes,"arms near-identical at this seed; minor hue/size shift only"
A,apple_mug,off,107,screenshots/qwen-negative-blocks/A/apple_mug-off-s107.webp,yes,yes,yes,"arms near-identical at this seed; minor hue/size shift only"
A,apple_mug,on,107,screenshots/qwen-negative-blocks/A/apple_mug-on-s107.webp,yes,yes,yes,"arms near-identical at this seed; minor hue/size shift only"
A,apple_mug,off,108,screenshots/qwen-negative-blocks/A/apple_mug-off-s108.webp,yes,yes,yes,"arms near-identical at this seed; minor hue/size shift only"
A,apple_mug,on,108,screenshots/qwen-negative-blocks/A/apple_mug-on-s108.webp,yes,yes,yes,"arms near-identical at this seed; minor hue/size shift only"
A,apple_mug,off,109,screenshots/qwen-negative-blocks/A/apple_mug-off-s109.webp,yes,yes,yes,"arms near-identical at this seed; minor hue/size shift only"
A,apple_mug,on,109,screenshots/qwen-negative-blocks/A/apple_mug-on-s109.webp,yes,yes,yes,"arms near-identical at this seed; minor hue/size shift only"
A,apple_mug,off,110,screenshots/qwen-negative-blocks/A/apple_mug-off-s110.webp,yes,yes,yes,"arms near-identical at this seed; minor hue/size shift only"
A,apple_mug,on,110,screenshots/qwen-negative-blocks/A/apple_mug-on-s110.webp,yes,yes,yes,"arms near-identical at this seed; minor hue/size shift only"
