trial,fixture,arm,seed,file,red_apple_present,any_apple_present,blue_mug_preserved,notes
A2,apple_mug,off,101,screenshots/qwen-negative-blocks/A2/apple_mug-off-s101.webp,,,,
A2,apple_mug,on,101,screenshots/qwen-negative-blocks/A2/apple_mug-on-s101.webp,,,,
A2,apple_mug,off,102,screenshots/qwen-negative-blocks/A2/apple_mug-off-s102.webp,,,,
A2,apple_mug,on,102,screenshots/qwen-negative-blocks/A2/apple_mug-on-s102.webp,,,,
A2,apple_mug,off,103,screenshots/qwen-negative-blocks/A2/apple_mug-off-s103.webp,,,,
A2,apple_mug,on,103,screenshots/qwen-negative-blocks/A2/apple_mug-on-s103.webp,,,,
A2,apple_mug,off,104,screenshots/qwen-negative-blocks/A2/apple_mug-off-s104.webp,,,,
A2,apple_mug,on,104,screenshots/qwen-negative-blocks/A2/apple_mug-on-s104.webp,,,,
A2,apple_mug,off,105,screenshots/qwen-negative-blocks/A2/apple_mug-off-s105.webp,,,,
A2,apple_mug,on,105,screenshots/qwen-negative-blocks/A2/apple_mug-on-s105.webp,,,,
A2,apple_mug,off,106,screenshots/qwen-negative-blocks/A2/apple_mug-off-s106.webp,,,,
A2,apple_mug,on,106,screenshots/qwen-negative-blocks/A2/apple_mug-on-s106.webp,,,,
