arm,fixture,seed,recipe,prediction,status,duration_s,output
base,front-portrait-neutral,110517,sdxl/base-portrait,r3znqpjardrmy0d05w7b0ks8nr,succeeded,6.1,/home/brian/projects/vesper/.claude/worktrees/sd-package-stage-2-agents-aac6f3/evidence/sd-identity-matrix-r1/base/front-portrait-neutral.png
base,full-body-standing,220931,sdxl/base-portrait,0mypyzb2jnrmr0d05w7bjgkq2c,succeeded,6.2,/home/brian/projects/vesper/.claude/worktrees/sd-package-stage-2-agents-aac6f3/evidence/sd-identity-matrix-r1/base/full-body-standing.png
base,outfit-formal-overcoat,331408,sdxl/base-portrait,48q4z5btpdrmt0d05w786qvrg4,succeeded,5.8,/home/brian/projects/vesper/.claude/worktrees/sd-package-stage-2-agents-aac6f3/evidence/sd-identity-matrix-r1/base/outfit-formal-overcoat.png
base,pose-seated-forward,442760,sdxl/base-portrait,t9bt32ch5xrmy0d05w79ab6x24,succeeded,6.0,/home/brian/projects/vesper/.claude/worktrees/sd-package-stage-2-agents-aac6f3/evidence/sd-identity-matrix-r1/base/pose-seated-forward.png
base,location-night-street,553219,sdxl/base-portrait,8ps630d8jxrmt0d05w7bgv5zyc,succeeded,6.2,/home/brian/projects/vesper/.claude/worktrees/sd-package-stage-2-agents-aac6f3/evidence/sd-identity-matrix-r1/base/location-night-street.png
base,expression-laughing,664085,sdxl/base-portrait,res4ng60s1rmr0d05w7aa158d0,succeeded,6.0,/home/brian/projects/vesper/.claude/worktrees/sd-package-stage-2-agents-aac6f3/evidence/sd-identity-matrix-r1/base/expression-laughing.png
base,state-prosthetic-forearm,775642,sdxl/base-portrait,z2wy7eyr8drmy0d05w7a0cpfc0,succeeded,5.9,/home/brian/projects/vesper/.claude/worktrees/sd-package-stage-2-agents-aac6f3/evidence/sd-identity-matrix-r1/base/state-prosthetic-forearm.png
base,state-face-dressing,886193,sdxl/base-portrait,k67fkz7fg1rmt0d05w7abdcfpr,succeeded,5.9,/home/brian/projects/vesper/.claude/worktrees/sd-package-stage-2-agents-aac6f3/evidence/sd-identity-matrix-r1/base/state-face-dressing.png
w065,front-portrait-neutral,110517,sdxl/identity-portrait-w065,rzjrdag6dhrmw0d05w7v31zh44,succeeded,11.5,/home/brian/projects/vesper/.claude/worktrees/sd-package-stage-2-agents-aac6f3/evidence/sd-identity-matrix-r1/w065/front-portrait-neutral.png
w065,full-body-standing,220931,sdxl/identity-portrait-w065,5m2r889kbnrmw0d05w7rtke1y0,succeeded,11.1,/home/brian/projects/vesper/.claude/worktrees/sd-package-stage-2-agents-aac6f3/evidence/sd-identity-matrix-r1/w065/full-body-standing.png
w065,outfit-formal-overcoat,331408,sdxl/identity-portrait-w065,agamt1tywhrmt0d05w7tvehtar,succeeded,11.3,/home/brian/projects/vesper/.claude/worktrees/sd-package-stage-2-agents-aac6f3/evidence/sd-identity-matrix-r1/w065/outfit-formal-overcoat.png
w065,pose-seated-forward,442760,sdxl/identity-portrait-w065,43kepgmaz5rmt0d05w7tf0agrw,succeeded,11.6,/home/brian/projects/vesper/.claude/worktrees/sd-package-stage-2-agents-aac6f3/evidence/sd-identity-matrix-r1/w065/pose-seated-forward.png
w065,location-night-street,553219,sdxl/identity-portrait-w065,xjda9y5r8drmt0d05w7trpa3qm,succeeded,11.3,/home/brian/projects/vesper/.claude/worktrees/sd-package-stage-2-agents-aac6f3/evidence/sd-identity-matrix-r1/w065/location-night-street.png
w065,expression-laughing,664085,sdxl/identity-portrait-w065,p4wc7rz48nrmr0d05w7rccce5m,succeeded,11.0,/home/brian/projects/vesper/.claude/worktrees/sd-package-stage-2-agents-aac6f3/evidence/sd-identity-matrix-r1/w065/expression-laughing.png
w065,state-prosthetic-forearm,775642,sdxl/identity-portrait-w065,sm899grf49rmy0d05w8ajxys0c,succeeded,11.0,/home/brian/projects/vesper/.claude/worktrees/sd-package-stage-2-agents-aac6f3/evidence/sd-identity-matrix-r1/w065/state-prosthetic-forearm.png
